PROVINCIA,CODIGO_PROVINCIA,CONCELLO,CODIGO_CONCELLO,PRAIA,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA
Pontevedra Province,36,Sanxenxo,36051,Q6078544,Sanxenxo - Padriñán (San Xenxo),80,Praia resgardada,Fina,42.400663/-8.803876,42.400663,-8.803876,https://www.turismo.gal/recurso?cod_rec=9761
Pontevedra Province,36,Sanxenxo,36051,Paxariñas,Paxariñas - Adina (Santa María),100,Praia resgardada,Fina,42.391639/-8.844083,42.391639,-8.844083,http://www.turismo.gal/ficha-recurso?cod_rec=9753
Pontevedra Province,36,Sanxenxo,36051,Pragueira, ,300,Praia aberta,Fina,42.409472/-8.862528,42.409472,-8.862528,http://www.turismo.gal/ficha-recurso?cod_rec=10450  
Pontevedra Province,36,Sanxenxo,36051,Playa del Silgar,Sanxenxo - Padriñán (San Xenxo),600,Praia aberta,Fina,42.401472/-8.812917,42.401472,-8.812917,http://www.turismo.gal/ficha-recurso?cod_rec=9757  
Pontevedra Province,36,Vigo,36057,Areiño,,200,Praia resgardada,Fina,42.260028/-8.697027,42.260028,-8.697027,http://www.turismo.gal/ficha-recurso?cod_rec=17431  
Pontevedra Province,36,Vigo,36057,De Argazada,,410,Praia resgardada,Fina,42.215944/-8.776055,42.215944,-8.776055,http://www.turismo.gal/ficha-recurso?cod_rec=30565  
Pontevedra Province,36,Vigo,36057,Praia Canido,Canido - Oia (San Miguel),300,Praia resgardada,Fina,42.194139/-8.796805,42.194139,-8.796805,http://www.turismo.gal/ficha-recurso?cod_rec=10127  
Pontevedra Province,36,Vigo,36057,Praia de Carril,A Igrexa - Alcabre (Santa Baia),600,Praia resgardada,Fina,42.223296/-8.7655534,42.223296,-8.7655534,http://www.turismo.gal/ficha-recurso?cod_rec=10502 
Pontevedra Province,36,Vigo,36057,Q28120018,Breadouro - Coruxo (San Salvador),280,Praia resgardada,Fina,42.199555/-8.786416,42.199555,-8.786416,http://www.turismo.gal/ficha-recurso?cod_rec=10508  
Pontevedra Province,36,Vigo,36057,Beach of Vao,Fontela - Coruxo (San Salvador),800,Praia resgardada,Fina,42.197222/-8.792166,42.197222,-8.792166,http://www.turismo.gal/ficha-recurso?cod_rec=10126  
Pontevedra Province,36,Vigo,36226,Mende,Vigo,90,Praia resgardada,Fina,42.26317000/-8.68097200,42.26317000,-8.68097200,https://www.turismo.gal/recurso?cod_rec=268719741
Pontevedra Province,36,Vigo,36057,Os Muiños,A Corveira - Saiáns (San Xurxo),150,Praia resgardada,Fina,42.17461/-8.813806,42.17461,-8.813806,http://www.turismo.gal/ficha-recurso?cod_rec=10514  
Pontevedra Province,36,Vigo,36057,Playa de Rodas,Illas Cíes,1300,Praia aberta,Fina,42.222916/-8.902917,42.222916,-8.902917,http://www.turismo.gal/ficha-recurso?cod_rec=10480  
Pontevedra Province,36,Vigo,36057,Q66547532,,230,Praia resgardada,Fina,42.22312/-8.76715,42.22312,-8.76715,https://www.turismo.gal/recurso/-/detalle/268730992/santa-baia 
Pontevedra Province,36,Vigo,36057,Q65897252,,,Praia resgardada,Fina,42.220083/-8.775749,42.220083,-8.775749,http://www.turismo.gal/ficha-recurso?cod_rec=30566  
Pontevedra Province,36,Vigo,36057,Bouzas,Vigo,450,Praia resgardada,Fina,42.22649888193796/ -8.754172974181202,42.22649888193796, -8.754172974181202,https://www.turismo.gal/recurso/-/detalle/268730720/o-adro
Pontevedra Province,36,Vilagarcía de Arousa,36060,Bamio,O Campanario - Bamio (San Xens),130,Praia resgardada,Fina,42.632789/-8.7626038,42.632789,-8.7626038,http://www.turismo.gal/ficha-recurso?cod_rec=11353 
Pontevedra Province,36,Vilagarcía de Arousa,36060,Compostela,Vilagarcía (Santa Baia),2000,Praia resgardada,Fina,42.604798/-8.7695076,42.604798,-8.7695076,http://www.turismo.gal/ficha-recurso?cod_rec=10090 



