nombre,concello,provincia,lat,lon,wikidata,qid,label_wd,label_gl,imagen_url,longitud_wd,lat_wd,lon_wd,municipio_wd,delta_lat,delta_lon
Areas Gordas,Sanxenxo,Pontevedra,42.430972,-8.87261,http://www.wikidata.org/entity/Q24023257,Q24023257,Areagorda,Areagorda,,300,42.4302,-8.874,provincia de Pontevedra,0.00077,0.00139
Bascuas,Sanxenxo,Pontevedra,42.404139,-8.858139,http://www.wikidata.org/entity/Q6078602,Q6078602,Playa de Bascuas,praia de Bascuas,http://commons.wikimedia.org/wiki/Special:FilePath/Sanxenxo%2C%20praia%20Bascuas%2003-03.JPG,100,42.4041,-8.85833,Adigna,4e-05,0.00019
Beach Of A Lanzada,Sanxenxo,Pontevedra,42.441258,-8.872075,http://www.wikidata.org/entity/Q3398218,Q3398218,Playa de la Lanzada,praia da Lanzada,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20A%20Lanzada.jpg,2400,42.4494,-8.8771,El Grove,0.00814,0.00502
Canelas,Sanxenxo,Pontevedra,42.389972,-8.831833,http://www.wikidata.org/entity/Q28119873,Q28119873,Canelas,praia de Canelas,http://commons.wikimedia.org/wiki/Special:FilePath/O%20Grove%2C%20praia%20de%20Canelas%2C%20O%20Grove%2C%2001-02.JPG,250,42.454699999,-8.930499999,San Vicente de El Grove,0.06473,0.09867
Caneliñas,Sanxenxo,Pontevedra,42.39186,-8.82586,http://www.wikidata.org/entity/Q12398075,Q12398075,Caneliñas,praia de Caneliñas,http://commons.wikimedia.org/wiki/Special:FilePath/Portonovo%20Caneli%C3%B1as.jpg,100,42.391799999,-8.825599999,Portonovo,6e-05,0.00026
Foxos,Sanxenxo,Pontevedra,42.427138,-8.873694,http://www.wikidata.org/entity/Q28119890,Q28119890,Foxos,Foxos,http://commons.wikimedia.org/wiki/Special:FilePath/Sanxenxo%2C%20praia%20Foxos%2006-01b.jpg,350,42.426899999,-8.874099999,Sangenjo,0.00024,0.00041
Lapa,Sanxenxo,Pontevedra,42.434313,-8.8722694,http://www.wikidata.org/entity/Q28119886,Q28119886,Lapa,Lapa,,400,42.433,-8.871999999,,0.00131,0.00027
Major,Sanxenxo,Pontevedra,42.413694,-8.866583,http://www.wikidata.org/entity/Q28119893,Q28119893,Major,Major,,900,42.412799999,-8.8672,,0.00089,0.00062
Montalvo Beach,Sanxenxo,Pontevedra,42.398944,-8.848194,http://www.wikidata.org/entity/Q6078910,Q6078910,Playa de Montalvo,praia de Montalbo,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20montalvo.jpg,900,42.3976,-8.85045,Sangenjo,0.00134,0.00226
Paxariñas,Sanxenxo,Pontevedra,42.391639,-8.844083,http://www.wikidata.org/entity/Q12398088,Q12398088,Paxariñas,praia de Paxariñas,http://commons.wikimedia.org/wiki/Special:FilePath/Sanxenxo%2C%20praia%20Paxari%C3%B1as%2001-03ar.jpg,150,42.391305555,-8.843805555,Paxariñas,0.00033,0.00028
Playa Del Silgar,Sanxenxo,Pontevedra,42.401472,-8.812917,http://www.wikidata.org/entity/Q24019722,Q24019722,Playa de Silgar,Silgar,http://commons.wikimedia.org/wiki/Special:FilePath/Sanxenxo%20-%20Praia%20de%20Silgar.jpg,750,42.40073,-8.81157,Sangenjo,0.00074,0.00135
Portonovo,Sanxenxo,Pontevedra,42.398722,-8.822555,http://www.wikidata.org/entity/Q6078596,Q6078596,Playa de Baltar (Portonovo),praia de Baltar,http://commons.wikimedia.org/wiki/Special:FilePath/Portonovo%2001-02.jpg,500,42.398542,-8.822173,,0.00018,0.00038
Pragueira,Sanxenxo,Pontevedra,42.409472,-8.862528,http://www.wikidata.org/entity/Q28119894,Q28119894,Pragueira,Pragueira,,200,42.4096,-8.863099999,,0.00013,0.00057
Q6078544,Sanxenxo,Pontevedra,42.400663,-8.803876,http://www.wikidata.org/entity/Q6078544,Q6078544,Playa da Panadeira,,http://commons.wikimedia.org/wiki/Special:FilePath/Sanxenxo%2C%20Galiza%20%28Spain%29.jpg,,,,,,
Areiño,Vigo,Pontevedra,42.260028,-8.697027,http://www.wikidata.org/entity/Q24003844,Q24003844,Areiño,praia de Areíño,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20punta%20en%20teis%204.jpg,200,42.25972,-8.7,Vigo,0.00031,0.00297
Beach Of Vao,Vigo,Pontevedra,42.197222,-8.792166,http://www.wikidata.org/entity/Q6448405,Q6448405,Playa del Vao,praia do Vao,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20del%20Vao.jpg,650,42.197969444,-8.792422222,,0.00075,0.00026
Bouzas,Vigo,Pontevedra,42.22649888193796,-8.754172974181202,http://www.wikidata.org/entity/Q28119383,Q28119383,Bouzas,Bouzas,http://commons.wikimedia.org/wiki/Special:FilePath/2014-11-09%20-%20Playa%20De%20Bouzas%20-%20Bouzas%20-%20Vigo%20-%20Spain%20%284%29.JPG,450,42.2249,-8.7558,Vigo,0.0016,0.00163
De Argazada,Vigo,Pontevedra,42.215944,-8.776055,http://www.wikidata.org/entity/Q28119389,Q28119389,De Argazada,praia de Argazada,,450,42.213899999,-8.775599999,Vigo,0.00204,0.00046
Mende,Vigo,Pontevedra,42.26317,-8.680972,http://www.wikidata.org/entity/Q28119361,Q28119361,playa de Mende,praia de Mende,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Mende%202023.jpeg,90,42.263325,-8.680991666,Teis,0.00015,2e-05
