codigoCompeticion,nombreCompeticion,nombreCategoria,nombreDeporte,nombreTemporada,sistemaCompeticion
8946,46_JUEGOS_DEPORTIVOS_MUNICIPALES,SENIOR_MASCULINO,FUTBOL_11,2025/2026,LIGA
8943,46_JUEGOS_DEPORTIVOS_MUNICIPALES,JUVENIL_MASCULINO,futsal,2025/2026,LIGA
8943,46_JUEGOS_DEPORTIVOS_MUNICIPALES,CADETE_MASCULINO,futsal,2025/2026,LIGA
8943,46_JUEGOS_DEPORTIVOS_MUNICIPALES,INFANTIL_MASCULINO,futsal,2025/2026,LIGA
8943,46_JUEGOS_DEPORTIVOS_MUNICIPALES,SENIOR_MASCULINO,futsal,2025/2026,LIGA
8953,46_JUEGOS_DEPORTIVOS_MUNICIPALES,SENIOR_FEMENINO,basketball,2025/2026,LIGA
8951,46_JUEGOS_DEPORTIVOS_MUNICIPALES,SENIOR_MASCULINO,futsal,2025/2026,LIGA
8945,46_JUEGOS_DEPORTIVOS_MUNICIPALES,INFANTIL_MASCULINO,seven-a-side_football,2025/2026,LIGA
8940,46_JUEGOS_DEPORTIVOS_MUNICIPALES,BENJAMIN_MIXTO,MINIBALONCESTO,2025/2026,LIGA
8940,46_JUEGOS_DEPORTIVOS_MUNICIPALES,ALEVIN_MIXTO,MINIBALONCESTO,2025/2026,LIGA
8939,46_JUEGOS_DEPORTIVOS_MUNICIPALES,PREBENJAMIN_MIXTO,futsal,2025/2026,LIGA
8979,46_JUEGOS_DEPORTIVOS_MUNICIPALES,ALEVIN_MIXTO,baseball,2025/2026,LIGA
8955,46_JUEGOS_DEPORTIVOS_MUNICIPALES,ALEVIN_MIXTO,MINIBALONCESTO,2025/2026,LIGA
